,AAPL daily return,MSFT daily return,F daily return,BAC daily return,1D,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,25Y,30Y,35Y,40Y
2022-11-01,-0.017698351280469014,-0.01720661698704503,0.002241276954014998,0.004429665167803469,0.0004133297185308013,0.00030231157411979986,0.00021602566086240116,0.00018816932915700219,0.0002717965139632031,0.0004439591377433036,0.0005209358738523032,0.0004389513015730026,0.00034189134015730205,0.00029639252967939705,0.0002252118467827996,0.0001239836941530001,2.8631416098601203e-05,-4.296202272750099e-05,-9.724439254459732e-05,-0.00014376571301889796,-0.00018791420295670436,-0.00023172422496500061,-0.00027517142638829734,-0.00031538828119089674,-0.0003492706758184,-0.0003754560954207023,-0.00039541391190769937,-0.00041094898523640067,-0.00042337455258429496,-0.00043385422774270405,-0.00044579989526070257,-0.00037151244042710196,-0.0003144197889732997,-0.00022995490139069916
2022-11-02,-0.03801869870694338,-0.03600897453436548,-0.025700473880538484,-0.003043461833859258,0.0003441458701791966,0.0002624004658662027,0.0002136880747937997,0.00012764668289529796,3.548844086279784e-05,0.0001316222605425993,0.00023375970802929497,0.0004739896266183971,0.0004044957208325997,0.0002540902371851034,0.00015275234096530366,0.00011816670926199924,0.00010912124093000186,9.866981812010206e-05,8.994989342100274e-05,9.143121885819838e-05,0.00010533755162120406,0.00011507257026740353,0.00010657526204589651,8.378723976219804e-05,5.304880404840423e-05,1.922094393880247e-05,-1.2960142866898228e-05,-3.963642818179819e-05,-5.756053773599973e-05,-6.433934331979974e-05,-1.823405427849728e-05,-4.287444740450064e-05,5.41352722466977e-05,0.00012978280655009944
2022-11-03,-0.043330330153967,-0.02693842185705033,0.015197850464474581,-0.0055569869874641875,0.0004403693446399029,0.0002993467394315011,0.00025025802045049866,0.0003016149615094957,0.0003970915845928,0.0005266589586495965,0.0006902891298441044,0.001097939653037304,0.0010846471196407984,0.0009568749438551016,0.0008321454497954017,0.0007607815650148009,0.0007037746451376004,0.0006239340010553984,0.0005446594871820962,0.0004953354138821017,0.0004867519527438982,0.0004794704706551009,0.00044176941405509734,0.0003949857284622979,0.00036580365681469773,0.0003677654892500007,0.0003875751234418967,0.0004091362360574974,0.0004195574376464964,0.00040870792099260284,0.0001837608532501006,0.00019772578288899945,0.00011545863542220328,4.694364914530069e-05
2022-11-04,-0.0019492548757753393,0.03278229530921574,0.018678175254634083,0.02476732704666605,0.005576204084601397,0.002758346222032901,-0.0005549477750423984,-0.0005431554094512958,-6.939152920010239e-05,-0.0003545573319808995,-0.00039410566843139927,-0.0004966621000422056,-0.0004479349760365958,-0.00032246626939590184,-0.00020398494324580518,-0.00011553988694620182,-3.7867491177998036e-05,4.548199328890251e-05,0.00012582182327919994,0.00019214681276549794,0.00024070147031970274,0.0002902470178567998,0.0003544722235106004,0.00041884300259149854,0.0004662959892779983,0.0004884498684272001,0.000494297581997101,0.0004946865023413016,0.000498195111591701,0.0005116752985804968,0.0006133502248089964,0.00042385541288739864,0.00031512098152899903,0.00027770526368859835
2022-11-07,0.003894500111947182,0.028849514017416714,0.013965602016268619,0.005962056699540298,-0.0057409311317005995,-0.003084984680597501,0.0006650942419733005,0.0008130734155709016,0.0002433150877325027,0.0004370271719769045,0.0004292194127937937,0.0005361704851838053,0.0004990762824957987,0.0004128392585183993,0.00033188538908079934,0.00031279382092679747,0.00032836055568579575,0.0003417098477076011,0.00034528836164800236,0.0003393245740369033,0.0003270403242471992,0.0003269445700172999,0.000351996760041301,0.0003911249640754025,0.0004310370504927996,0.00046347987258519435,0.0004874930460468038,0.0005036472561060004,0.0005122790432919994,0.000513782162010798,0.0004980925382951015,0.0005770838419442009,0.0005772875003721006,0.0005623531706116028
2022-11-08,0.00416654691958705,0.004378832512704296,0.001458764158254412,0.0026984210302374886,0.00011523410816060425,-4.778015925860357e-05,-4.0815817945696886e-05,-1.760911493380035e-05,-0.0001210898577237024,-0.0002483280750586042,-0.00033947148597269355,-0.0005869844562521043,-0.0006749087242356039,-0.0007338155711499039,-0.0007774327613779969,-0.000853219620714496,-0.0009187687585702001,-0.0009336668245005994,-0.0009135121924883013,-0.0008801228421351989,-0.0008467025010375009,-0.0008167355772814022,-0.0007910471801498009,-0.0007708212287656988,-0.0007573566945422994,-0.0007503736509790956,-0.0007454750286104012,-0.0007381981095622991,-0.000725072868533301,-0.0007032834600439949,-0.0005316949907921004,-0.0004629322057420962,-0.0003979302316604004,-0.0003535693820208019
2022-11-09,-0.03375330411685354,-0.019233928628847693,-0.03033887537002462,-0.016026431957716535,3.3381741046493996e-05,-1.7178999853297017e-05,6.320292044539877e-05,3.8891738019596056e-05,-3.4960449578499975e-05,-5.809544351949997e-05,-0.00011006561766930406,-0.00046094355194940123,-0.0005648618277587988,-0.00047772295517629904,-0.00036819633615799846,-0.00023426304421739902,-0.00010724441263789547,-1.6280357546805124e-05,5.176231320210001e-05,0.00011489228149119679,0.0001812440604488999,0.00024116286025419736,0.0002858205695673993,0.00032103814614820037,0.0003537684982269987,0.0003881082789254989,0.00042223989136720014,0.000453739254065999,0.00048045276363090084,0.0005008899010831985,0.0005784595579653024,0.000722314798816695,0.0006374720922204015,0.0005364509515168002
2022-11-10,0.08523659861924292,0.07905885324566102,0.06331684178352458,0.043141265886274274,0.011702508595192403,0.0045007507100581,-0.0006963855767982002,-0.000578082212023795,-0.00034845456297209754,-0.0011282929796722976,-0.0014904874430660964,-0.002673535051092496,-0.0030137968778301966,-0.0031200723173335013,-0.0031035375382807012,-0.0030749388218494003,-0.0030579938531465,-0.003040199586664294,-0.0030138065266411967,-0.002973614180885799,-0.0029188231882254015,-0.0028602503285576966,-0.002807112564016098,-0.002757650482647901,-0.0027089341683113957,-0.0026584672240366966,-0.002604654332861299,-0.0025461550921365983,-0.002482360756352199,-0.002412377239053902,-0.0020940652839485027,-0.0020333749234634005,-0.0018917610784631028,-0.0018163182540535013
2022-11-11,0.019085454763224884,0.01685439237601192,0.02231605229654109,0.007316448107250183,0.00030124095383950167,-9.5674408958496e-06,0.00012455197116089875,9.102261110685225e-05,-0.00019060167440899944,-0.0003705027681596487,-0.0005050960613295005,-0.0010958527679700986,-0.0013279293202441977,-0.0014173648017220992,-0.0014313218494140002,-0.0014269884424720006,-0.0014194790871520507,-0.0014075163605433982,-0.0013932787651202982,-0.0013785946910926002,-0.0013647705322018013,-0.0013527253746557985,-0.0013423831526095976,-0.0013306169910967496,-0.0013144691087985973,-0.0012922417508572995,-0.0012650802624199521,-0.0012344088538523007,-0.0012015910180028996,-0.001167501406985249,-0.0010040899997951006,-0.0008987949557229986,-0.0008620814569040014,-0.0008464065415052496
2022-11-14,-0.00953092333356076,-0.022756989028342,-0.020416021867093785,-0.017067514124078146,-0.0111000266875134,-0.0045198855918498,0.0009454895191199977,0.0007601274342374995,-3.274878584590135e-05,0.0003872874433530002,0.00048029532040709533,0.0004818295151522989,0.0003579382373418011,0.00028534271388930277,0.00024089383945270076,0.00022096193690539917,0.00021903567884239833,0.00022516686557749743,0.00022724899640060026,0.0002164247987005985,0.000189282123821799,0.0001547995792460996,0.00012234625879690292,9.641650045440209e-05,7.999595071420118e-05,7.398372232209766e-05,7.449380802139471e-05,7.733738443199689e-05,7.917872034639978e-05,7.737442508340409e-05,8.588528435830162e-05,0.0002357850120174032,0.00016759816465510002,0.00012350517104300213
